period_end,org_code,org_name,nhse_region_code,nhse_region_name,ics_code,staff_group,leavers_hc,joiners_hc,denom_start_hc,denom_end_hc,leavers_fte,denom_end_fte,leaver_rate
202308,RAS,Hillingdon Hospitals NHS Foundation Trust,Y56,London,QRV,Nurses & health visitors,7.0,7.0,,977.0,7.0,915.74271,0.007164790174002047
202308,RAS,Hillingdon Hospitals NHS Foundation Trust,Y56,London,QRV,"Support to doctors, nurses & midwives",6.0,8.0,,804.0,5.2,737.03163,0.007462686567164179
202308,RAT,North East London NHS Foundation Trust,Y56,London,QMF,Nurses & health visitors,21.0,15.0,,2091.0,17.18667,1913.68061,0.010043041606886656
202308,RAT,North East London NHS Foundation Trust,Y56,London,QMF,"Support to doctors, nurses & midwives",16.0,40.0,,1659.0,13.21334,1435.74635,0.009644364074743821
202308,RAX,Kingston Hospital NHS Foundation Trust,Y56,London,QWE,Nurses & health visitors,13.0,6.0,,1087.0,12.56667,1020.67661,0.011959521619135235
202308,RAX,Kingston Hospital NHS Foundation Trust,Y56,London,QWE,"Support to doctors, nurses & midwives",16.0,6.0,,1016.0,12.87999,913.53745,0.015748031496062992
202308,RBD,Dorset County Hospital NHS Foundation Trust,Y58,South West,QVV,Nurses & health visitors,3.0,10.0,,852.0,3.0,758.39194,0.0035211267605633804
202308,RBD,Dorset County Hospital NHS Foundation Trust,Y58,South West,QVV,"Support to doctors, nurses & midwives",14.0,26.0,,892.0,11.82667,771.0781,0.01569506726457399
202308,RBK,Walsall Healthcare NHS Trust,Y60,Midlands,QUA,Nurses & health visitors,15.0,20.0,,1529.0,11.56079,1363.14012,0.009810333551340745
202308,RBK,Walsall Healthcare NHS Trust,Y60,Midlands,QUA,"Support to doctors, nurses & midwives",24.0,32.0,,1311.0,19.75332,1136.37493,0.018306636155606407
202308,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,13.0,15.0,,1713.0,11.55999,1528.06327,0.007589025102159953
202308,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",23.0,20.0,,1776.0,18.37065,1502.08301,0.01295045045045045
202308,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,Y62,North West,QYG,Nurses & health visitors,25.0,26.0,,2866.0,20.16,2601.12507,0.008722958827634334
202308,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",35.0,48.0,,2758.0,27.25334,2327.20035,0.012690355329949238
202308,RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,11.0,1.0,,659.0,9.73653,618.21898,0.01669195751138088
202308,RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",3.0,2.0,,341.0,2.4,302.87141,0.008797653958944282
202308,RBS,Alder Hey Children's NHS Foundation Trust,Y62,North West,QYG,Nurses & health visitors,10.0,11.0,,1293.0,8.25999,1171.67814,0.007733952049497293
202308,RBS,Alder Hey Children's NHS Foundation Trust,Y62,North West,QYG,"Support to doctors, nurses & midwives",13.0,9.0,,819.0,11.61334,707.68686,0.015873015873015872
